id,municipio,total_casos,total_mortos
3500105,Adamantina,79,5
3500204,Adolfo,27,2
3500303,Aguaí,89,4
3500402,Águas da Prata,2,1
3500501,Águas de Lindóia,56,4
3500550,Águas de Santa Bárbara,7,0
3500600,Águas de São Pedro,11,0
3500709,Agudos,163,3
3500758,Alambari,25,0
3500808,Alfredo Marcondes,6,1
3500907,Altair,4,1
3501004,Altinópolis,41,2
3501103,Alto Alegre,10,1
3501152,Alumínio,58,4
3501202,Álvares Florence,15,0
3501301,Álvares Machado,81,2
3501400,Álvaro de Carvalho,4,2
3501509,Alvinlândia,2,0
3501608,Americana,1043,42
3501707,Américo Brasiliense,168,2
3501806,Américo de Campos,50,0
3501905,Amparo,213,8
3502002,Analândia,11,0
3502101,Andradina,78,5
3502200,Angatuba,96,2
3502309,Anhembi,3,0
3502408,Anhumas,9,0
3502507,Aparecida,44,0
3502606,Aparecida d'Oeste,12,0
3502705,Apiaí,49,2
3502754,Araçariguama,106,2
3502804,Araçatuba,1516,44
3502903,Araçoiaba da Serra,132,4
3503000,Aramina,17,1
3503109,Arandu,14,2
3503158,Arapeí,1,1
3503208,Araraquara,1273,15
3503307,Araras,638,23
3503406,Arealva,9,0
3503505,Areias,3,0
3503604,Areiópolis,25,3
3503703,Ariranha,57,0
3503802,Artur Nogueira,120,2
3503901,Arujá,699,45
3503950,Aspásia,20,0
3504008,Assis,306,14
3504107,Atibaia,343,13
3504206,Auriflama,74,2
3504305,Avaí,16,0
3504404,Avanhandava,11,0
3504503,Avaré,161,10
3504602,Bady Bassitt,172,8
3504800,Bálsamo,55,1
3504909,Bananal,15,0
3505005,Barão de Antonina,10,0
3505104,Barbosa,9,0
3505203,Bariri,111,2
3505302,Barra Bonita,193,5
3505351,Barra do Chapéu,14,0
3505401,Barra do Turvo,18,1
3505500,Barretos,1417,50
3505609,Barrinha,154,6
3505708,Barueri,2587,241
3505807,Bastos,20,0
3505906,Batatais,87,1
3506003,Bauru,2032,42
3506102,Bebedouro,156,7
3506201,Bento de Abreu,9,0
3506300,Bernardino de Campos,34,0
3506359,Bertioga,755,19
3506409,Bilac,13,0
3506508,Birigui,447,17
3506607,Biritiba Mirim,92,8
3506706,Boa Esperança do Sul,27,1
3506805,Bocaina,62,2
3506904,Bofete,55,3
3507001,Boituva,331,9
3507100,Bom Jesus dos Perdões,51,0
3507209,Borá,1,0
3507308,Boracéia,18,0
3507407,Borborema,37,0
3507456,Borebi,12,1
3507506,Botucatu,841,18
3507605,Bragança Paulista,776,20
3507704,Braúna,28,2
3507753,Brejo Alegre,5,0
3507803,Brodowski,120,2
3507902,Brotas,18,0
3508009,Buri,56,4
3508108,Buritama,63,4
3508207,Buritizal,7,0
3508306,Cabrália Paulista,26,0
3508405,Cabreúva,422,23
3508504,Caçapava,293,9
